Date,Open,High,Low,Close,Volume
01/22/2024,"114.64","115.48","113.10","115.00","563,759"
01/19/2024,"115.25","116.50","114.07","114.63","358,815"
01/18/2024,"115.00","115.85","112.66","114.65","872,339"
01/17/2024,"116.01","117.20","114.93","115.42","5,075,262"
01/16/2024,"117.26","118.00","116.25","116.62","1,139,653"
01/15/2024,"119.30","120.81","117.27","117.75","1,911,765"
01/12/2024,"118.00","119.00","117.50","118.47","1,597,241"
01/11/2024,"115.25","117.78","114.01","117.42","1,236,084"
01/10/2024,"117.00","117.00","114.90","115.04","447,283"
01/09/2024,"116.99","117.44","115.27","115.58","390,894"
01/08/2024,"117.25","118.00","116.01","116.36","573,038"
01/05/2024,"117.45","117.99","115.20","117.41","1,060,265"
01/04/2024,"117.10","117.75","116.10","116.50","1,132,175"
01/03/2024,"117.01","119.21","116.49","117.69","3,264,531"
01/02/2024,"116.89","118.80","115.00","116.53","4,163,065"
01/01/2024,"110.83","116.50","110.83","115.75","2,877,447"
